,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
11509,Heidelberg,34 Quinn St,3,h,1125000,VB,Ray,30/07/2016,10.6,3084,3,1,2,0,125,1950,Banyule,-37.7502,145.0718,Eastern Metropolitan,2890
11510,Ivanhoe East,23 Hilltop Cr,4,h,1775000,S,Nelson,3/12/2016,9,3079,,,,,,,,,,Eastern Metropolitan,1554
11511,Ivanhoe East,271 The Boulevard,5,h,3850000,SP,Miles,3/12/2016,9,3079,5,4,2,2064,405,1951,Banyule,-37.7769,145.0605,Eastern Metropolitan,1554
11512,Ivanhoe East,24 Flora Gr,3,h,1605000,S,Miles,6/08/2016,9,3079,3,1,1,624,117,1950,Banyule,-37.7741,145.0506,Eastern Metropolitan,1554
11513,Ivanhoe East,5/3 Rotherwood Rd,2,u,470000,VB,Nelson,6/08/2016,9,3079,2,1,1,1473,65,1960,Banyule,-37.7713,145.0499,Eastern Metropolitan,1554
11514,Ivanhoe East,61 Streeton Cr,5,h,3350000,S,Miles,6/08/2016,9,3079,,,,,,,,,,Eastern Metropolitan,1554
11516,Ivanhoe East,11 Warncliffe Rd,3,h,2150000,S,Miles,7/05/2016,9,3079,3,2,2,1232,,,Banyule,-37.7767,145.0592,Eastern Metropolitan,1554
11517,Ivanhoe East,41 McArthur Rd,4,h,1740000,S,Miles,7/11/2016,9,3079,4,3,3,948,249,1960,Banyule,-37.7759,145.063,Eastern Metropolitan,1554
11519,Ivanhoe East,44 Keam St,4,h,1660000,S,Fletchers,8/10/2016,9,3079,4,2,2,830,315,1950,Banyule,-37.7679,145.0673,Eastern Metropolitan,1554
11520,Ivanhoe East,3/36 Wilfred Rd,3,u,1260000,S,Miles,10/12/2016,9,3079,3,2,2,356,,1998,Banyule,-37.7749,145.0568,Eastern Metropolitan,1554
11521,Ivanhoe East,31 Keam St,4,h,2200000,S,Miles,12/11/2016,9,3079,4,2,2,1004,247,1935,Banyule,-37.7689,145.0665,Eastern Metropolitan,1554
11522,Ivanhoe East,11/33 Carmichael St,2,u,485000,S,Miles,13/08/2016,9,3079,2,1,1,0,,,Banyule,-37.7699,145.0581,Eastern Metropolitan,1554
11524,Ivanhoe East,21 Wilfred Rd,3,h,1651000,S,Barry,16/07/2016,9,3079,3,1,1,1073,,1947,Banyule,-37.7749,145.0549,Eastern Metropolitan,1554
11525,Ivanhoe East,10 Carmichael St,4,h,1875000,PI,Nelson,18/06/2016,9,3079,4,3,2,583,318,1975,Banyule,-37.7719,145.0582,Eastern Metropolitan,1554
11527,Ivanhoe East,333 The Boulevard,5,h,1797000,S,hockingstuart,22/05/2016,9,3079,4,3,3,826,250,1955,Banyule,-37.7793,145.0654,Eastern Metropolitan,1554
11528,Ivanhoe East,1/169 Lower Heidelberg Rd,3,t,1050000,VB,Nelson,22/08/2016,9,3079,3,2,1,180,165,2012,Banyule,-37.772,145.0538,Eastern Metropolitan,1554
11529,Ivanhoe East,17 Streeton Cr,4,h,2850000,VB,Miles,25/02/2017,9,3079,,,,,,,,,,Eastern Metropolitan,1554
11531,Ivanhoe East,14 York Av,5,h,3390000,S,Jellis,27/11/2016,9,3079,,,,,,,,,,Eastern Metropolitan,1554
11533,Ivanhoe East,3/204 The Boulevard,1,u,405000,S,Miles,28/08/2016,9,3079,1,1,1,0,,1960,Banyule,-37.7767,145.0543,Eastern Metropolitan,1554
11534,Ivanhoe East,9/61 Maltravers Rd,2,u,520000,VB,Miles,30/07/2016,9,3079,,,,,,,,,,Eastern Metropolitan,1554
11535,Jacana,52 Hales Cr,3,h,470000,S,YPA,3/12/2016,14.5,3047,,,,,,,,,,Northern Metropolitan,851
11536,Jacana,69 Lorraine Cr,2,h,461000,S,RE,4/02/2016,14.5,3047,,,,,,,,,,Northern Metropolitan,851
11537,Jacana,39 Emu Pde,3,h,551000,S,YPA,4/03/2017,14.5,3047,3,1,0,610,121,1955,Hume,-37.6885,144.9092,Northern Metropolitan,851
11538,Jacana,60 Lorraine Cr,3,h,398000,S,Barry,6/08/2016,14.5,3047,,,,,,,,,,Northern Metropolitan,851
11539,Jacana,147 Sunset Bvd,3,h,350000,PI,Barry,7/05/2016,14.5,3047,3,1,2,600,110,1950,Hume,-37.6866,144.9086,Northern Metropolitan,851
11540,Jacana,7 Landy Rd,3,h,482000,S,Stockdale,10/12/2016,14.5,3047,,,,,,,,,,Northern Metropolitan,851
11542,Jacana,49 Hales Cr,3,h,495000,S,Stockdale,12/06/2016,14.5,3047,,,,,,,,,,Northern Metropolitan,851
11543,Jacana,11/1051 Pascoe Vale Rd,2,u,280000,PI,Raine,16/04/2016,14.5,3047,2,1,1,197,,,Hume,-37.6859,144.9164,Northern Metropolitan,851
11544,Jacana,108 Sunset Bvd,3,h,425000,S,Barry,16/04/2016,14.5,3047,3,1,2,650,90,1975,Hume,-37.687,144.9084,Northern Metropolitan,851
11545,Jacana,16 Gavin St,3,h,537000,S,Barry,18/03/2017,14.5,3047,3,1,2,600,,,Hume,-37.6876,144.9095,Northern Metropolitan,851
11546,Jacana,3 Fidge Ct,3,h,600000,S,Woodards,22/05/2016,14.5,3047,3,1,2,647,173,1960,Hume,-37.6904,144.9121,Northern Metropolitan,851
11547,Jacana,15 Bliburg St,3,h,460000,PI,Eview,24/09/2016,14.5,3047,3,1,1,601,92,1960,Hume,-37.6889,144.9109,Northern Metropolitan,851
11548,Jacana,1 Robinson St,3,h,611000,S,Barry,25/02/2017,14.5,3047,3,1,3,624,93,1966,Hume,-37.6862,144.913,Northern Metropolitan,851
11549,Jacana,149 Langton St,2,h,456000,S,YPA,27/06/2016,14.5,3047,,,,,,,,,,Northern Metropolitan,851
11550,Jacana,25 Bliburg St,3,h,495000,S,YPA,27/11/2016,14.5,3047,3,1,2,598,92,1965,Hume,-37.6878,144.9112,Northern Metropolitan,851
11551,Jacana,17 Sunset Bvd,2,h,472500,S,YPA,28/05/2016,14.5,3047,2,1,2,729,88,1960,Hume,-37.6909,144.9136,Northern Metropolitan,851
11552,Jacana,58 Bliburg St,3,h,421000,S,Barry,30/07/2016,14.5,3047,3,1,1,607,,,Hume,-37.6864,144.9111,Northern Metropolitan,851
11553,Kingsbury,1/21 The Fairway,3,u,480000,PI,Darren,3/12/2016,12.4,3083,3,2,1,218,110,2004,Darebin,-37.7133,145.0374,Northern Metropolitan,1414
11554,Kingsbury,31b Cash St,3,h,568500,S,Harcourts,4/06/2016,12.4,3083,,,,,,,,,,Northern Metropolitan,1414
11555,Kingsbury,46 Dunne St,3,h,980000,S,Barry,8/10/2016,12.4,3083,2,1,1,907,165,1960,Darebin,-37.7143,145.039,Northern Metropolitan,1414
11556,Kingsbury,24 Stymie St,5,h,1000000,SP,Ray,11/02/2017,12.4,3083,5,2,2,544,,2000,Darebin,-37.7147,145.0296,Northern Metropolitan,1414
11557,Kingsbury,53 Scott Gr,2,h,731000,S,Ray,11/03/2017,12.4,3083,2,1,0,640,,,Darebin,-37.717,145.0312,Northern Metropolitan,1414
11558,Kingsbury,101 The Fairway,4,h,610000,S,Ray,12/11/2016,12.4,3083,4,1,1,465,120,1970,Darebin,-37.7126,145.03,Northern Metropolitan,1414
11559,Kingsbury,27 Keats Av,4,h,687000,SP,Ray,25/02/2017,12.4,3083,,,,,,,,,,Northern Metropolitan,1414
11560,Kingsbury,4/1 Oconnell St,2,u,380000,S,Barry,25/02/2017,12.4,3083,2,1,1,128,,1970,Darebin,-37.715,145.043,Northern Metropolitan,1414
11562,Kingsbury,36 Scott Gr,3,h,690000,S,Barry,27/11/2016,12.4,3083,3,1,2,556,,,Darebin,-37.7174,145.0361,Northern Metropolitan,1414
11564,Kingsbury,5 Golf Av,3,h,635000,S,Nelson,28/05/2016,12.4,3083,,,,,,,,,,Northern Metropolitan,1414
11565,Kingsbury,9 Keats Av,4,h,590500,S,Ray,28/08/2016,12.4,3083,,,,,,,,,,Northern Metropolitan,1414
11566,Kingsbury,93 The Fairway,3,h,607500,S,Barry,28/08/2016,12.4,3083,3,2,1,468,153,1970,Darebin,-37.7125,145.0306,Northern Metropolitan,1414
11567,Kingsbury,33 Clunes St,2,h,705500,S,ASL,30/07/2016,12.4,3083,2,1,1,770,,1950,Darebin,-37.7159,145.0389,Northern Metropolitan,1414
11568,Kingsville,1/68 Edgar St,2,h,677200,SP,Sweeney,3/12/2016,7.8,3012,2,2,1,180,179,2011,Maribyrnong,-37.8115,144.8763,Western Metropolitan,1808
11569,Kingsville,92 Empress Av,3,h,960000,S,Village,3/12/2016,7.8,3012,,,,,,,,,,Western Metropolitan,1808
11571,Kingsville,134 Chirnside St,3,h,1155000,S,Jas,4/06/2016,7.8,3012,2,2,2,269,123,1915,Maribyrnong,-37.8108,144.8819,Western Metropolitan,1808
11573,Kingsville,4 Chirnside St,3,h,817000,S,Village,6/08/2016,7.8,3012,2,1,1,259,105,1940,Maribyrnong,-37.8046,144.8831,Western Metropolitan,1808
11574,Kingsville,132 Coronation St,3,h,1035000,SP,Village,6/08/2016,7.8,3012,3,2,2,275,145,1920,Maribyrnong,-37.8118,144.8801,Western Metropolitan,1808
11575,Kingsville,4 Kingsville St,2,h,816000,S,Village,7/05/2016,7.8,3012,,,,,,,,,,Western Metropolitan,1808
11576,Kingsville,104 Williamstown Rd,2,h,677500,S,Jas,7/05/2016,7.8,3012,2,1,1,224,89,1915,Maribyrnong,-37.8083,144.8841,Western Metropolitan,1808
11577,Kingsville,149 Empress Av,3,h,1450000,SP,Jas,10/12/2016,7.8,3012,,,,,,,,,,Western Metropolitan,1808
11578,Kingsville,83 Kingsville St,1,h,630000,S,Burnham,10/12/2016,7.8,3012,1,1,1,370,,,Maribyrnong,-37.8118,144.8783,Western Metropolitan,1808
11579,Kingsville,200 Somerville Rd,3,h,760000,PI,Chambers,10/12/2016,7.8,3012,3,1,1,350,114,1950,Maribyrnong,-37.8123,144.8805,Western Metropolitan,1808
11580,Kingsville,52a Williamstown Rd,2,h,730000,S,Village,12/11/2016,7.8,3012,2,2,0,84,130,1900,Maribyrnong,-37.8058,144.8846,Western Metropolitan,1808
11582,Kingsville,88 Chirnside St,1,h,750000,PI,Village,15/10/2016,7.8,3012,1,1,0,272,107,,Maribyrnong,-37.8086,144.8824,Western Metropolitan,1808
11583,Kingsville,2/15 Edgar St,2,u,440000,S,hockingstuart,15/10/2016,7.8,3012,2,1,1,117,74,2008,Maribyrnong,-37.8083,144.8775,Western Metropolitan,1808
11585,Kingsville,309 Geelong Rd,2,h,685000,SP,Village,17/09/2016,7.8,3012,2,1,1,220,219,1890,Maribyrnong,-37.8068,144.8782,Western Metropolitan,1808
11586,Kingsville,2/357 Geelong Rd,3,t,600000,PI,Jas,17/09/2016,7.8,3012,,,,,,,,,,Western Metropolitan,1808
11587,Kingsville,153 Coronation St,3,h,967500,S,Jas,18/03/2017,7.8,3012,3,1,1,325,,,Maribyrnong,-37.812,144.8804,Western Metropolitan,1808
11588,Kingsville,2/57 Kingsville St,1,u,210000,S,Jas,18/03/2017,7.8,3012,1,1,1,0,36,1970,Maribyrnong,-37.81,144.8786,Western Metropolitan,1808
11590,Kingsville,85 Empress Av,4,h,1210000,SP,Greg,18/06/2016,7.8,3012,,,,,,,,,,Western Metropolitan,1808
11591,Kingsville,74 Chirnside St,3,h,1340000,S,Jas,19/11/2016,7.8,3012,3,2,0,272,132,1915,Maribyrnong,-37.8079,144.8825,Western Metropolitan,1808
11592,Kingsville,12 Williamstown Rd,4,h,925000,S,Sweeney,19/11/2016,7.8,3012,4,2,1,276,4,1948,Maribyrnong,-37.8039,144.8849,Western Metropolitan,1808
11593,Kingsville,60 Empress Av,3,h,912500,PI,Village,22/05/2016,7.8,3012,,,,,,,,,,Western Metropolitan,1808
11594,Kingsville,17/5 Lewis St,2,u,270000,VB,Jas,22/05/2016,7.8,3012,2,1,1,0,,,Maribyrnong,-37.8096,144.874,Western Metropolitan,1808
11595,Kingsville,72 Chirnside St,4,h,1275000,SP,Jas,24/09/2016,7.8,3012,4,2,1,274,172,1910,Maribyrnong,-37.8078,144.8825,Western Metropolitan,1808
11597,Kingsville,57 Wales St,3,h,925000,SP,Village,24/09/2016,7.8,3012,3,1,1,275,100,1920,Maribyrnong,-37.8085,144.8802,Western Metropolitan,1808
11598,Kingsville,65 Empress Av,3,h,1085000,S,Jas,25/02/2017,7.8,3012,,,,,,,,,,Western Metropolitan,1808
11599,Kingsville,22 Coronation St,4,h,1336000,S,Jas,26/07/2016,7.8,3012,3,2,1,343,109,1920,Maribyrnong,-37.8066,144.8811,Western Metropolitan,1808
11602,Kingsville,2/35 Kingsville St,1,u,200000,VB,Greg,30/07/2016,7.8,3012,1,1,1,0,38,1960,Maribyrnong,-37.8089,144.8788,Western Metropolitan,1808
11604,Murrumbeena,3a Irving Av,4,t,1185000,PI,hockingstuart,3/12/2016,12.1,3163,,,,,,,,,,Southern Metropolitan,4442
11609,Murrumbeena,1/22 Gerald St,4,t,1100000,SP,hockingstuart,4/03/2017,12.1,3163,4,3,2,286,160,1990,Glen Eira,-37.8958,145.0696,Southern Metropolitan,4442
11610,Murrumbeena,537 Neerim Rd,4,h,1500000,S,hockingstuart,4/03/2017,12.1,3163,4,2,1,650,,1935,Glen Eira,-37.8918,145.0769,Southern Metropolitan,4442
11611,Murrumbeena,11 Perth St,3,h,1470000,S,Hodges,4/03/2017,12.1,3163,3,1,2,701,,,Glen Eira,-37.8868,145.0688,Southern Metropolitan,4442
11612,Murrumbeena,3 Churchill Cl,3,t,1160000,S,hockingstuart,4/06/2016,12.1,3163,3,2,2,302,172,2000,Glen Eira,-37.9043,145.0622,Southern Metropolitan,4442
11613,Murrumbeena,84 Dalny Rd,3,t,1100000,S,hockingstuart,4/06/2016,12.1,3163,1,2,2,242,,2005,Glen Eira,-37.9017,145.0739,Southern Metropolitan,4442
11614,Murrumbeena,9 Stewart St,3,h,820000,PI,Woodards,4/06/2016,12.1,3163,2,1,1,274,107,1925,Glen Eira,-37.8968,145.075,Southern Metropolitan,4442
11615,Murrumbeena,5/13 Toward St,2,t,690000,S,hockingstuart,4/06/2016,12.1,3163,2,1,1,129,,,Glen Eira,-37.8927,145.0691,Southern Metropolitan,4442
11616,Murrumbeena,9 Winston Wy,4,h,1580000,S,Woodards,4/06/2016,12.1,3163,,,,,,,,,,Southern Metropolitan,4442
11617,Murrumbeena,2/11 Howe St,2,u,740000,S,Buxton,6/08/2016,12.1,3163,2,1,1,161,89,1980,Glen Eira,-37.8955,145.073,Southern Metropolitan,4442
11618,Murrumbeena,7 Thomson Av,3,h,1420000,S,Woodards,6/08/2016,12.1,3163,,,,,,,,,,Southern Metropolitan,4442
11619,Murrumbeena,1d Bute St,3,u,975000,S,Woodards,7/05/2016,12.1,3163,3,2,1,277,109,1975,Glen Eira,-37.8936,145.0709,Southern Metropolitan,4442
11620,Murrumbeena,38 Dalny Rd,3,h,1060000,PI,hockingstuart,7/05/2016,12.1,3163,3,1,2,595,130,1957,Glen Eira,-37.9027,145.0684,Southern Metropolitan,4442
11623,Murrumbeena,4/16 Rosella St,2,u,680000,S,Buxton,7/05/2016,12.1,3163,2,1,2,275,94,1975,Glen Eira,-37.8936,145.0725,Southern Metropolitan,4442
11624,Murrumbeena,2/43 Kangaroo Rd,2,u,825000,S,Buxton,8/10/2016,12.1,3163,2,1,1,0,86,,Glen Eira,-37.898,145.0734,Southern Metropolitan,4442
11626,Murrumbeena,15 Thaxted Rd,3,h,1430000,PI,Woodards,10/12/2016,12.1,3163,3,1,2,618,163,1960,Glen Eira,-37.8991,145.0686,Southern Metropolitan,4442
11628,Murrumbeena,6/21 Adelaide St,2,h,435000,S,Barry,12/11/2016,12.1,3163,2,1,1,697,,1970,Glen Eira,-37.8875,145.0676,Southern Metropolitan,4442
11629,Murrumbeena,17 Howe St,3,h,1370000,S,Woodards,12/11/2016,12.1,3163,3,2,2,834,168,1954,Glen Eira,-37.8959,145.0736,Southern Metropolitan,4442
11630,Murrumbeena,22/41 Murrumbeena Rd,2,u,605000,SP,Fletchers,12/11/2016,12.1,3163,2,2,2,5289,72,2013,Glen Eira,-37.8882,145.0666,Southern Metropolitan,4442
11631,Murrumbeena,18 Spark St,3,h,1355000,S,Ray,12/11/2016,12.1,3163,3,1,6,612,,,Glen Eira,-37.8996,145.0716,Southern Metropolitan,4442
11632,Murrumbeena,4/178 Murrumbeena Rd,3,t,785000,S,Buxton,13/08/2016,12.1,3163,3,2,2,0,,2009,Glen Eira,-37.8969,145.0654,Southern Metropolitan,4442
11633,Murrumbeena,12 Wahroongaa Rd,3,h,1420000,S,Woodards,13/08/2016,12.1,3163,3,1,1,700,,,Glen Eira,-37.8887,145.0718,Southern Metropolitan,4442
11634,Murrumbeena,21 Ardyne St,4,h,1610000,S,Ray,15/10/2016,12.1,3163,4,2,2,660,167,1920,Glen Eira,-37.8932,145.0681,Southern Metropolitan,4442
11635,Murrumbeena,3/34 Bute St,1,u,290000,S,McGrath,15/10/2016,12.1,3163,1,1,1,0,,,Glen Eira,-37.8956,145.0705,Southern Metropolitan,4442
11637,Murrumbeena,199 Poath Rd,2,h,910500,S,hockingstuart,15/10/2016,12.1,3163,2,1,2,313,,,Glen Eira,-37.898,145.0759,Southern Metropolitan,4442
11638,Murrumbeena,111/121 Murrumbeena Rd,2,u,480000,SP,Gary,17/09/2016,12.1,3163,,,,,,,,,,Southern Metropolitan,4442
11640,Murrumbeena,4/167 Murrumbeena Rd,1,u,331000,S,Thomson,18/03/2017,12.1,3163,1,1,1,0,,,Glen Eira,-37.8961,145.0651,Southern Metropolitan,4442
11641,Murrumbeena,62 Murrumbeena Cr,6,h,1000000,VB,hockingstuart,18/03/2017,12.1,3163,,,,,,,,,,Southern Metropolitan,4442
11642,Murrumbeena,3/14 Wilson St,2,h,685000,S,hockingstuart,18/03/2017,12.1,3163,2,1,1,0,,,Glen Eira,-37.8888,145.0743,Southern Metropolitan,4442
11643,Murrumbeena,28 Murrumbeena Cr,4,h,1500000,S,Buxton,18/06/2016,12.1,3163,,,,,,,,,,Southern Metropolitan,4442
11644,Murrumbeena,14/24 Rosella St,1,u,256500,S,Gary,18/06/2016,12.1,3163,1,1,1,0,37,1966,Glen Eira,-37.8944,145.0733,Southern Metropolitan,4442
11645,Murrumbeena,6 Thomson Av,4,h,1390000,S,Woodards,18/06/2016,12.1,3163,,,,,,,,,,Southern Metropolitan,4442
11646,Murrumbeena,22 Lydson St,3,h,1365000,S,Gary,19/11/2016,12.1,3163,3,2,2,627,,,Glen Eira,-37.8955,145.0742,Southern Metropolitan,4442
11647,Murrumbeena,4/19 Rosella St,3,t,860000,SP,Buxton,22/05/2016,12.1,3163,3,2,2,0,,2013,Glen Eira,-37.8939,145.0715,Southern Metropolitan,4442
11648,Murrumbeena,22 Brett St,5,h,1300000,PI,Buxton,22/08/2016,12.1,3163,5,2,2,683,223,1960,Glen Eira,-37.9055,145.0691,Southern Metropolitan,4442
11649,Murrumbeena,3/19 Howe St,3,u,835000,SP,Matthew,22/08/2016,12.1,3163,3,1,1,181,104,1975,Glen Eira,-37.8966,145.0737,Southern Metropolitan,4442
11650,Murrumbeena,1/178 Murrumbeena Rd,2,t,720000,S,hockingstuart,23/04/2016,12.1,3163,2,2,2,1318,,2008,Glen Eira,-37.8969,145.0654,Southern Metropolitan,4442
11652,Murrumbeena,32 Leura St,2,h,861500,S,hockingstuart,24/09/2016,12.1,3163,2,2,1,293,125,2004,Glen Eira,-37.9033,145.0727,Southern Metropolitan,4442
11653,Murrumbeena,116/41 Murrumbeena Rd,2,u,500000,VB,Beller,24/09/2016,12.1,3163,2,2,1,5289,70,2013,Glen Eira,-37.8882,145.0666,Southern Metropolitan,4442
11654,Murrumbeena,19 Wahroongaa Rd,4,h,1670000,S,Woodards,24/09/2016,12.1,3163,3,2,1,690,,,Glen Eira,-37.8885,145.0726,Southern Metropolitan,4442
11655,Murrumbeena,1 Donal St,4,h,1400000,VB,hockingstuart,25/02/2017,12.1,3163,4,2,2,557,178,1955,Glen Eira,-37.906,145.074,Southern Metropolitan,4442
11656,Murrumbeena,3/59 Poath Rd,2,h,692000,S,Gary,25/02/2017,12.1,3163,2,1,2,0,,1991,Glen Eira,-37.8929,145.0765,Southern Metropolitan,4442
11657,Murrumbeena,2/15 Melbourne St,2,u,603000,S,Anderson,26/07/2016,12.1,3163,4,1,1,102,92,1960,Glen Eira,-37.8894,145.0679,Southern Metropolitan,4442
11658,Murrumbeena,226 Murrumbeena Rd,3,h,1076000,S,Woodards,26/07/2016,12.1,3163,3,1,1,554,,,Glen Eira,-37.9012,145.0646,Southern Metropolitan,4442
11659,Murrumbeena,49 Dalny Rd,3,h,1100000,VB,hockingstuart,27/06/2016,12.1,3163,3,2,2,506,169,1950,Glen Eira,-37.902,145.0705,Southern Metropolitan,4442
11660,Murrumbeena,2/190 Murrumbeena Rd,1,u,291000,S,Woodards,27/06/2016,12.1,3163,1,1,1,0,44,,Glen Eira,-37.8979,145.0652,Southern Metropolitan,4442
11661,Murrumbeena,47A Rosella St,4,t,1200000,PI,Buxton,27/11/2016,12.1,3163,4,3,2,297,,,Glen Eira,-37.895,145.0749,Southern Metropolitan,4442
11662,Murrumbeena,22 Victory St,3,h,1090000,S,Gary,27/11/2016,12.1,3163,3,2,2,553,138,1960,Glen Eira,-37.9031,145.0668,Southern Metropolitan,4442
11663,Murrumbeena,26 Innellan Rd,3,h,1220000,S,Thomson,28/05/2016,12.1,3163,3,1,2,735,,,Glen Eira,-37.8943,145.0689,Southern Metropolitan,4442
11664,Murrumbeena,14 Kinlock Av,3,h,1180000,SP,Thomson,28/05/2016,12.1,3163,,,,,,,,,,Southern Metropolitan,4442
11665,Murrumbeena,525a Neerim Rd,4,h,1800000,PI,Ray,28/05/2016,12.1,3163,4,2,2,990,267,2003,Glen Eira,-37.8916,145.0753,Southern Metropolitan,4442
11666,Murrumbeena,1/23 Rosella St,3,h,970000,S,Thomson,28/05/2016,12.1,3163,,,,,,,,,,Southern Metropolitan,4442
11667,Murrumbeena,56b Wallace Av,4,t,1286000,S,Ray,28/05/2016,12.1,3163,,,,,,,,,,Southern Metropolitan,4442
11668,Murrumbeena,8/145 Murrumbeena Rd,2,u,435000,PI,Woodards,28/08/2016,12.1,3163,2,1,1,0,,1970,Glen Eira,-37.8941,145.0655,Southern Metropolitan,4442
11669,Murrumbeena,12 Omama Rd,4,h,1641000,S,Woodards,28/08/2016,12.1,3163,3,1,1,560,,,Glen Eira,-37.8897,145.0709,Southern Metropolitan,4442
11672,Murrumbeena,4/1 Howe St,2,t,745500,S,Buxton,30/07/2016,12.1,3163,2,1,1,186,110,1980,Glen Eira,-37.8947,145.0722,Southern Metropolitan,4442
11673,Murrumbeena,3 Short St,3,h,1260000,S,Thomson,30/07/2016,12.1,3163,3,1,1,345,,1940,Glen Eira,-37.8904,145.0729,Southern Metropolitan,4442
11674,Ormond,208 Booran Rd,3,h,1401000,SP,Noel,3/12/2016,11.8,3204,3,2,2,650,150,1950,Glen Eira,-37.8986,145.0359,Southern Metropolitan,3578
11675,Ormond,28A Cadby Av,3,h,800000,PI,Buxton,3/12/2016,11.8,3204,,,,,,,,,,Southern Metropolitan,3578
11676,Ormond,17 Murray Rd,4,h,2250000,PI,Marshall,3/12/2016,11.8,3204,4,1,2,903,235,1985,Glen Eira,-37.9062,145.0263,Southern Metropolitan,3578
11677,Ormond,37 Thompson St,4,h,1715000,S,Buxton,3/12/2016,11.8,3204,4,2,2,705,226,1922,Glen Eira,-37.9035,145.028,Southern Metropolitan,3578
11678,Ormond,21 Tyrone St,2,h,1960000,S,Gary,3/12/2016,11.8,3204,2,1,1,719,,,Glen Eira,-37.9071,145.046,Southern Metropolitan,3578
11679,Ormond,11/18 Ulupna Rd,1,u,360500,S,Buxton,3/12/2016,11.8,3204,,,,,,,,,,Southern Metropolitan,3578
11680,Ormond,7/30 Walsh St,1,u,250000,VB,Ray,4/02/2016,11.8,3204,1,1,1,0,36,1960,Glen Eira,-37.9028,145.0475,Southern Metropolitan,3578
11681,Ormond,3/10 Ormond Rd,1,u,290000,VB,Ray,4/03/2017,11.8,3204,1,1,1,0,,,Glen Eira,-37.9032,145.0455,Southern Metropolitan,3578
11682,Ormond,4 Thompson St,3,h,1708000,S,C21,4/03/2017,11.8,3204,3,1,1,703,,,Glen Eira,-37.9058,145.028,Southern Metropolitan,3578
11683,Ormond,1/316 Tucker Rd,2,h,758000,S,Buxton,4/03/2017,11.8,3204,2,1,1,250,,,Glen Eira,-37.9063,145.0535,Southern Metropolitan,3578
11684,Ormond,2/498 North Rd,2,u,600000,S,Woodards,4/06/2016,11.8,3204,,,,,,,,,,Southern Metropolitan,3578
11685,Ormond,9 Queen St,4,h,1920000,S,Buxton,4/06/2016,11.8,3204,3,1,1,805,808,1925,Glen Eira,-37.9066,145.0354,Southern Metropolitan,3578
11686,Ormond,1 Bethell St,3,h,1256000,S,hockingstuart,6/08/2016,11.8,3204,3,2,2,378,,1924,Glen Eira,-37.9064,145.0287,Southern Metropolitan,3578
11687,Ormond,15 Tyrone St,4,h,1918000,S,Buxton,6/08/2016,11.8,3204,4,2,1,678,162,1920,Glen Eira,-37.9065,145.0461,Southern Metropolitan,3578
11688,Ormond,2/27 Wheeler St,3,u,900000,S,hockingstuart,6/08/2016,11.8,3204,3,1,1,265,91,1990,Glen Eira,-37.906,145.04,Southern Metropolitan,3578
11689,Ormond,27 Bewdley St,4,h,1875000,S,hockingstuart,7/11/2016,11.8,3204,4,2,2,702,,1929,Glen Eira,-37.9063,145.0493,Southern Metropolitan,3578
11690,Ormond,22 Oakleigh Cr,2,h,1515000,S,Woodards,7/11/2016,11.8,3204,,,,,,,,,,Southern Metropolitan,3578
11691,Ormond,32a Bewdley St,2,h,1250000,S,Ray,8/10/2016,11.8,3204,2,1,1,516,,,Glen Eira,-37.906,145.0497,Southern Metropolitan,3578
11692,Ormond,13 Stewart St,2,h,1360000,PI,hockingstuart,8/10/2016,11.8,3204,3,1,1,690,,1930,Glen Eira,-37.9056,145.0288,Southern Metropolitan,3578
11693,Ormond,37 Lewis St,3,h,1770000,S,hockingstuart,10/09/2016,11.8,3204,3,2,2,667,142,1950,Glen Eira,-37.9088,145.0471,Southern Metropolitan,3578
11694,Ormond,14/21 Lillimur Rd,2,u,435000,S,RT,10/09/2016,11.8,3204,1,1,1,0,,,Glen Eira,-37.9016,145.0414,Southern Metropolitan,3578
11695,Ormond,9 Ruby St,5,h,1836000,S,hockingstuart,10/09/2016,11.8,3204,3,3,4,464,,,Glen Eira,-37.9061,145.0329,Southern Metropolitan,3578
11696,Ormond,44 Thompson St,3,t,1250000,S,hockingstuart,10/09/2016,11.8,3204,3,2,2,326,188,2000,Glen Eira,-37.903,145.0285,Southern Metropolitan,3578
11698,Ormond,2/31 Malane St,2,u,950000,S,Gary,10/12/2016,11.8,3204,2,1,1,0,,,Glen Eira,-37.9009,145.037,Southern Metropolitan,3578
11699,Ormond,1/15 Murray Rd,5,h,1390000,S,hockingstuart,10/12/2016,11.8,3204,,,,,,,,,,Southern Metropolitan,3578
11700,Ormond,35b Murray Rd,4,t,1520000,S,hockingstuart,10/12/2016,11.8,3204,,,,,,,,,,Southern Metropolitan,3578
11702,Ormond,7/4 Holloway St,1,u,260000,PI,Ray,12/06/2016,11.8,3204,1,1,1,0,,1975,Glen Eira,-37.9018,145.0454,Southern Metropolitan,3578
11703,Ormond,6 Dunlop Av,3,h,1580000,S,Buxton,12/11/2016,11.8,3204,,,,,,,,,,Southern Metropolitan,3578
